mois_volume,volume_pf,price_pf_eur_MWh,volume_indexe,price_indexe_eur_MWh,volume_indexe_engagement,volume_fixe,volume_non_fixe,price_fixation_eur_MWh,volume_total_marges,Marge_brute_euro_MWh,Marge_nette_euro_MWh,FPMA_euro_MWh,marge_complementaire_fixation
2021-01-01,3192112.681377762,17.8086868054508,1594828.4887078474,0.26341842852227154,1589144.5714209122,1179631.7088268893,409512.8625940229,16.571288382199736,4799615.898616338,1.664474999502264,0.8169114931991428,0.0921399141485012,0.10811041047496163
2021-02-01,2578240.140925336,17.69521871351706,1372663.3033058075,0.24189777709582158,1368470.5527477951,998135.6218939081,370334.930853887,16.450467904737373,3966130.6210285663,1.6510672341082455,0.7995079395377303,0.09315630368290614,0.1086451103139804
2021-03-01,2358166.899325453,17.67541930717279,1256417.0814903053,0.23218681756429843,1281775.9644963332,929487.8989835652,352288.065512768,16.35840757639166,3631085.1419262863,1.6792703243479188,0.8092021638503603,0.09254878806535098,0.1097296574574239
2021-04-01,1533352.0031568322,17.64108381113956,908792.1667223428,0.20739064512434158,957420.9794086585,668325.8907517224,289095.0886569361,16.144988463467534,2452440.7214121143,1.5430604381884525,0.7038797315869207,0.08990903002751978,0.11057826626250435
2021-05-01,902842.3859168333,17.543702003172207,628273.390959501,0.14026937421296376,661562.8084612573,461425.5690015789,200137.23945967836,15.882681513697205,1533687.7993556238,1.2457944131715535,0.5149517923286306,0.06736100259814691,0.11412377968047882
2021-06-01,642169.9221313639,17.41607957731977,542243.7468441962,0.09938979422918626,565295.1819800287,375125.0564875014,190170.12549252732,15.697602731675453,1183988.5261575314,0.9593945881981567,0.33231780676244194,0.054371958777920545,0.11578203542050984
2021-07-01,593672.3719528706,17.402128580882536,531699.4360256142,0.09746969058773386,553290.2304353955,363813.73402715044,189476.49640824506,15.69053844316571,1124897.4581807652,0.8912035441627862,0.2508163882535979,0.054223260276814365,0.11172499866018876
2021-08-01,552284.4173751738,17.408057811006522,493186.6003465767,0.09896932649494035,518079.0601346696,356270.8979241931,161808.16221047647,15.662109411922737,1044835.1836676691,0.9142497147140163,0.26207507897741983,0.054916755277028155,0.10880899752405236
2021-09-01,723616.0802288295,17.369156314289178,648477.1435077238,0.09859815191722776,678505.0787463126,466011.44389543595,212493.6348508767,15.656258029833507,1373302.5368566997,0.9723024108816107,0.2761905767507862,0.05990721462203982,0.10572921739756252
2021-10-01,1288630.558135121,17.58352065753971,1050949.3368426652,0.15519583909177442,1128063.2084976328,748386.2643909145,379676.9441067183,16.334364909821748,2360720.537510868,1.3069740973279589,0.44229010528304263,0.08810180251089142,0.1060719409310196
2021-11-01,2000095.989104783,17.798420536159195,1365877.8152846845,0.23393901949675777,1459123.8514959316,989192.6230017846,469931.2284941471,16.684550935114483,3389883.7741749887,1.577953408947663,0.6009676302187121,0.10948191368375332,0.10105622921951718
2021-12-01,2412840.6518720905,17.848354277088035,1575109.35059007,0.2705941698345694,1680361.179342467,1146658.8664111835,533702.3129312836,16.803861388908217,4011906.7312518163,1.5599708851515213,0.5686753066411765,0.11947609685666995,0.09762645584830909
2022-01-01,2601712.5864666123,17.68700076661966,1725455.6406600776,0.26036612568347384,1808107.0151059008,975738.0335314358,832368.981574465,16.36168949911111,4348589.398535312,1.6425892499095336,0.6145120503251067,0.12697835129066576,0.1366826511794145
