profil,station,month,coef
P011,06088001,1,0.124797584469662
P011,06088001,2,0.0907613513899253
P011,06088001,3,0.0985425493675783
P011,06088001,4,0.0712757130117364
P011,06088001,5,0.054447133371838
P011,06088001,6,0.0380278543081322
P011,06088001,7,0.0365722248200111
P011,06088001,8,0.0471665011845179
P011,06088001,9,0.0412538952760114
P011,06088001,10,0.0535818329726355
P011,06088001,11,0.086039760889754
P011,06088001,12,0.105105950065189
P011,13054001,1,0.153489422022543
P011,13054001,2,0.116036586532578
P011,13054001,3,0.118727594435873
P011,13054001,4,0.0688123747907862
P011,13054001,5,0.0475203200374401
P011,13054001,6,0.0424147657598936
P011,13054001,7,0.0340352057483595
P011,13054001,8,0.0300579498167305
P011,13054001,9,0.0266073509463008
P011,13054001,10,0.0559286319047727
P011,13054001,11,0.110275508254415
P011,13054001,12,0.0176563279507626
P011,16089001,1,0.145174893968598
P011,16089001,2,0.118664882088538
P011,16089001,3,0.121043128026809
P011,16089001,4,0.0744909959807913
P011,16089001,5,0.0625940402441559
P011,16089001,6,0.0559838917155451
P011,16089001,7,0.0355225291689414
P011,16089001,8,0.0384770089375525
P011,16089001,9,0.059332823444891
P011,16089001,10,0.0856832409742647
P011,16089001,11,0.145881434367992
P011,16089001,12,0.134405428465779
P011,18033001,1,0.128770094408359
P011,18033001,2,0.109625866301754
P011,18033001,3,0.117301374752188
P011,18033001,4,0.0932145456885122
P011,18033001,5,0.060075809098651
P011,18033001,6,0.0535298598838204
P011,18033001,7,0.0548147906660384
P011,18033001,8,0.0293663011115698
P011,18033001,9,0.0639469412367468
P011,18033001,10,0.090758467948818
P011,18033001,11,0.107889473814662
P011,18033001,12,0.11639887907533
P011,21473001,1,0.132159742641583
P011,21473001,2,0.110316980425499
P011,21473001,3,0.107037371263338
P011,21473001,4,0.0786810472105223
P011,21473001,5,0.0563937361718753
P011,21473001,6,0.0504764475775812
P011,21473001,7,0.0516079904534486
P011,21473001,8,0.0522562320731176
P011,21473001,9,0.0522988708076499
P011,21473001,10,0.0765072092835328
P011,21473001,11,0.102785232000462
P011,21473001,12,0.12947914009139
P011,25056001,1,0.132159742641583
P011,25056001,2,0.110316980425499
P011,25056001,3,0.107037371263338
P011,25056001,4,0.0786810472105223
P011,25056001,5,0.0563937361718753
P011,25056001,6,0.0504764475775812
P011,25056001,7,0.0516079904534486
P011,25056001,8,0.0522562320731176
P011,25056001,9,0.0522988708076499
P011,25056001,10,0.0765072092835328
P011,25056001,11,0.102785232000462
P011,25056001,12,0.12947914009139
P011,26198001,1,0.133272231260896
P011,26198001,2,0.132610774467117
P011,26198001,3,0.113727233597883
P011,26198001,4,0.0841346031744047
P011,26198001,5,0.0480476446231574
P011,26198001,6,0.0592755919067625
P011,26198001,7,0.0489429085031403
P011,26198001,8,0.0358627109972217
P011,26198001,9,0.0872756358868199
P011,26198001,10,0.0986421069514052
P011,26198001,11,0.095520893431979
P011,26198001,12,0.0930351107819874
P011,28070001,1,0.130610561771083
P011,28070001,2,0.103106713308874
P011,28070001,3,0.108242228650966
P011,28070001,4,0.0762959430495414
P011,28070001,5,0.0441674574716412
P011,28070001,6,0.065629247142449
P011,28070001,7,0.0451361940255906
P011,28070001,8,0.0574518460705632
P011,28070001,9,0.0684261861266206
P011,28070001,10,0.0875027610979019
P011,28070001,11,0.115942433904401
P011,28070001,12,0.112197343444629
P011,29075001,1,0.147285339372722
P011,29075001,2,0.105645445774404
P011,29075001,3,0.114464493367086
P011,29075001,4,0.0840826411902401
P011,29075001,5,0.0597615124124843
P011,29075001,6,0.0445171153712268
P011,29075001,7,0.0374059217952715
P011,29075001,8,0.0461285546387361
P011,29075001,9,0.0465161490006825
P011,29075001,10,0.0806710034363021
P011,29075001,11,0.105267214961865
P011,29075001,12,0.0990773762324535
P011,30189001,1,0.132159742641583
P011,30189001,2,0.110316980425499
P011,30189001,3,0.107037371263338
P011,30189001,4,0.0786810472105223
P011,30189001,5,0.0563937361718753
P011,30189001,6,0.0504764475775812
P011,30189001,7,0.0516079904534486
P011,30189001,8,0.0522562320731176
P011,30189001,9,0.0522988708076499
